frame_idx	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_pos_vid_x	gaze_pos_vid_y	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
79	31.93600000	0.23900000	-20.30400000	-0.02630000	-0.13220000	0.99090000	-30.98800000	2.43900000	-21.25100000	0.02360000	-0.14640000	0.98890000	637.72000000	454.75000000	614.29000000	300.27000000	650.18000000	320.56000000
79	31.93600000	0.23900000	-20.30400000	-0.02040000	-0.14720000	0.98890000	-30.98800000	2.43900000	-21.25200000	0.02770000	-0.14620000	0.98890000	632.03000000	462.02000000	607.54000000	318.18000000	645.38000000	320.29000000
80	31.93600000	0.23900000	-20.30500000	-0.01600000	-0.13910000	0.99020000	-30.98800000	2.43900000	-21.25200000	0.02780000	-0.14760000	0.98870000	629.41000000	457.33000000	602.20000000	308.51000000	645.25000000	322.00000000
81	31.93600000	0.23900000	-20.30500000	-0.02100000	-0.14600000	0.98910000	-30.98800000	2.43900000	-21.25200000	0.02820000	-0.14980000	0.98830000	632.10000000	463.77000000	608.27000000	316.74000000	644.80000000	324.61000000
82	31.93600000	0.23900000	-20.30500000	-0.05100000	-0.24590000	0.96800000	-30.98800000	2.44100000	-21.25200000	0.04940000	-0.26970000	0.96170000	636.97000000	614.18000000	645.07000000	435.50000000	618.82000000	467.46000000
83	31.93600000	0.23900000	-20.30500000	-0.05330000	-0.26890000	0.96170000	-30.98700000	2.44300000	-21.25300000	0.04500000	-0.30050000	0.95270000	641.02000000	649.16000000	648.14000000	463.03000000	623.65000000	504.61000000
83	31.93600000	0.23900000	-20.30500000	-0.04100000	-0.27690000	0.96000000	-30.98600000	2.44600000	-21.25500000	0.04680000	-0.30080000	0.95250000	632.70000000	649.09000000	633.73000000	472.55000000	621.50000000	505.00000000
84	31.93600000	0.23900000	-20.30500000	-0.03020000	-0.27650000	0.96060000	-30.98500000	2.44800000	-21.25600000	0.04940000	-0.29810000	0.95330000	624.80000000	643.85000000	620.82000000	472.08000000	618.52000000	501.78000000
85	31.93600000	0.23900000	-20.30500000	-0.02420000	-0.28440000	0.95840000	-30.98400000	2.45000000	-21.25600000	0.04850000	-0.30100000	0.95240000	621.89000000	647.30000000	613.84000000	481.64000000	619.48000000	505.20000000
86	31.93600000	0.23900000	-20.30500000	-0.04650000	-0.29990000	0.95280000	-30.98400000	2.45300000	-21.25800000	0.03080000	-0.32750000	0.94440000	645.75000000	677.98000000	640.71000000	500.28000000	640.30000000	537.32000000
87	31.93600000	0.23900000	-20.30500000	-0.04760000	-0.30170000	0.95220000	-30.98300000	2.45600000	-21.25900000	0.02500000	-0.32850000	0.94420000	649.89000000	677.89000000	642.01000000	502.48000000	647.26000000	538.48000000
88	31.93600000	0.23900000	-20.30500000	-0.05250000	-0.30020000	0.95240000	-30.98200000	2.45900000	-21.26000000	0.01930000	-0.33080000	0.94350000	656.26000000	679.36000000	647.85000000	500.72000000	654.05000000	541.27000000
88	31.93600000	0.23900000	-20.30500000	-0.05520000	-0.29200000	0.95480000	-30.98100000	2.46100000	-21.26100000	0.01440000	-0.33080000	0.94360000	660.81000000	676.74000000	650.87000000	490.78000000	659.89000000	541.29000000
