eye_tracker,participant_id,trial_number,trial_condition,std,n_samples
Pupil Neon,354,1,dark,0.19096561522235625,693
Pupil Neon,354,2,bright,0.10857742907218479,736
Pupil Neon,354,3,dark,0.1045816078893354,739
Pupil Neon,354,4,bright,0.16779214055139371,705
Pupil Neon,354,5,dark,0.0833235127406208,731
Pupil Neon,354,6,bright,0.21892103736449137,744
Pupil Neon,375,1,dark,0.13215502597514897,744
Pupil Neon,375,2,bright,0.2079446567952059,701
Pupil Neon,375,3,dark,0.17264133810868984,738
Pupil Neon,375,4,bright,0.1844012421029897,696
Pupil Neon,375,5,dark,0.24077279813070365,724
Pupil Neon,375,6,bright,0.22877072240648827,730
Pupil Neon,397,1,dark,0.16024606234065208,736
Pupil Neon,397,2,bright,0.1761791765607108,748
Pupil Neon,397,3,dark,0.15292231114484617,738
Pupil Neon,397,4,bright,0.10829810383337853,742
Pupil Neon,397,5,dark,0.16492085421005473,744
Pupil Neon,397,6,bright,0.16050639678726059,735
Pupil Neon,406,1,dark,0.13962384099845587,740
Pupil Neon,406,2,bright,0.1592504185964558,741
Pupil Neon,406,3,dark,0.17520130378719764,744
Pupil Neon,406,4,bright,0.20101288570013842,740
Pupil Neon,406,5,dark,0.25096637383645753,739
Pupil Neon,406,6,bright,0.14181202323717573,729
Pupil Neon,460,1,dark,0.18252154869807516,744
Pupil Neon,460,2,bright,0.18325931652478986,747
Pupil Neon,460,3,dark,0.15721392662212855,742
Pupil Neon,460,4,bright,0.1975582931409943,730
Pupil Neon,460,5,dark,0.13349010900173716,742
Pupil Neon,460,6,bright,0.15652238896497403,739
Pupil Neon,503,1,dark,0.18704422642696028,733
Pupil Neon,503,2,bright,0.2154636613531286,738
Pupil Neon,503,3,dark,0.20304363533313521,747
Pupil Neon,503,4,bright,0.2186890405048386,735
Pupil Neon,503,5,dark,0.1594931630576146,736
Pupil Neon,503,6,bright,0.17070661286687006,736
Pupil Neon,695,1,dark,0.19578370358719915,748
Pupil Neon,695,2,bright,0.190058355428128,736
Pupil Neon,695,3,dark,0.17918933431433576,738
Pupil Neon,695,4,bright,0.2478089308700511,741
Pupil Neon,695,5,dark,0.12692552709589267,749
Pupil Neon,695,6,bright,0.22370207922136445,743
Pupil Neon,772,1,dark,0.31938091175424105,742
Pupil Neon,772,2,bright,0.2759492895699714,727
Pupil Neon,772,3,dark,0.2871580839459922,741
Pupil Neon,772,4,bright,0.3035961587540661,735
Pupil Neon,772,5,dark,0.3154738071440184,732
Pupil Neon,772,6,bright,0.3431433533211688,749
Pupil Neon,796,1,dark,0.25177955643771954,739
Pupil Neon,796,2,bright,0.2486937700385589,732
Pupil Neon,796,3,dark,0.23480751508073033,740
Pupil Neon,796,4,bright,0.1687231884136368,741
Pupil Neon,796,5,dark,0.2331960218074991,711
Pupil Neon,796,6,bright,0.20983903115076127,733
Pupil Neon,844,1,dark,0.1781288372846523,743
Pupil Neon,844,2,bright,0.14236470515810645,735
Pupil Neon,844,3,dark,0.26247941416966475,720
Pupil Neon,844,4,bright,0.21477892835439746,690
Pupil Neon,844,5,dark,0.29385757390541795,734
Pupil Neon,844,6,bright,0.47874830523407697,687
Pupil Neon,875,1,dark,0.21077320082190412,747
Pupil Neon,875,2,bright,0.27278801147592824,727
Pupil Neon,875,3,dark,0.28105517559689575,740
Pupil Neon,875,4,bright,0.2532585490571598,746
Pupil Neon,875,5,dark,0.21431228996835205,746
Pupil Neon,875,6,bright,0.2699922890394483,746
Pupil Neon,914,1,dark,0.19647245444287195,745
Pupil Neon,914,2,bright,0.1384529578830072,738
Pupil Neon,914,3,dark,0.13691759883631663,722
Pupil Neon,914,4,bright,0.16985889929124426,744
Pupil Neon,914,5,dark,0.20166542671545076,745
Pupil Neon,914,6,bright,0.21625426714660484,743
SMI ETG,137,1,dark,0.1406425714166142,110
SMI ETG,137,2,bright,0.14307970346397864,115
SMI ETG,137,3,dark,0.19555479489884714,113
SMI ETG,137,4,bright,0.2673873884657135,114
SMI ETG,137,5,dark,0.14218650241650324,115
SMI ETG,137,6,bright,0.3251738786404371,113
SMI ETG,141,1,dark,0.09260528160531727,114
SMI ETG,141,2,bright,0.13549549584595522,115
SMI ETG,141,3,dark,0.13460757228695244,114
SMI ETG,141,4,bright,0.09543229078702886,112
SMI ETG,141,5,dark,0.2089419548786558,114
SMI ETG,141,6,bright,0.10485358503101355,114
SMI ETG,199,1,dark,0.3724395662166917,114
SMI ETG,199,2,bright,0.3280970990709441,114
SMI ETG,199,3,dark,0.34038771338660995,113
SMI ETG,199,4,bright,0.3489269676746714,114
SMI ETG,199,5,dark,0.23067372332267247,112
SMI ETG,199,6,bright,0.15940631059493338,114
SMI ETG,210,1,dark,0.11792970499686407,114
SMI ETG,210,2,bright,0.11056818188931093,110
SMI ETG,210,3,dark,0.06649962629838664,113
SMI ETG,210,4,bright,0.0963801048114629,108
SMI ETG,210,5,dark,0.09039920212800424,114
SMI ETG,210,6,bright,0.08824686250525243,113
SMI ETG,231,1,dark,0.21894363003029366,112
SMI ETG,231,2,bright,0.09069895851399565,112
SMI ETG,231,3,dark,0.19394417571701722,109
SMI ETG,231,4,bright,0.12827234846590432,112
SMI ETG,231,5,dark,0.23733932851513304,113
SMI ETG,231,6,bright,0.21396041393533144,115
SMI ETG,259,1,dark,0.13316731883422125,110
SMI ETG,259,2,bright,0.0957708196719576,114
SMI ETG,259,3,dark,0.22091172504713294,113
SMI ETG,259,4,bright,0.13619791232973094,114
SMI ETG,259,5,dark,0.4138106773865313,115
SMI ETG,259,6,bright,0.11800361706733803,113
SMI ETG,276,1,dark,0.1720560597733169,110
SMI ETG,276,2,bright,0.2627352966769186,110
SMI ETG,276,3,dark,0.11718880382290414,110
SMI ETG,276,4,bright,0.38688422906970205,95
SMI ETG,276,5,dark,0.40437271657080553,109
SMI ETG,276,6,bright,0.2275128253817492,110
SMI ETG,299,1,dark,0.30204700680282276,107
SMI ETG,299,2,bright,0.2654661574274128,108
SMI ETG,299,3,dark,0.1690741944421143,114
SMI ETG,299,4,bright,0.21369506373493233,114
SMI ETG,299,5,dark,0.24023991485109475,113
SMI ETG,299,6,bright,0.2692020628461525,106
SMI ETG,319,1,dark,0.29281193950564155,114
SMI ETG,319,2,bright,0.13335376308273128,113
SMI ETG,319,3,dark,0.3170249877701033,111
SMI ETG,319,4,bright,0.08140543071511265,112
SMI ETG,319,5,dark,0.36878301121103774,114
SMI ETG,319,6,bright,0.20344849119571307,114
SMI ETG,332,1,dark,0.12398534584095737,113
SMI ETG,332,2,bright,0.08047693331343057,115
SMI ETG,332,3,dark,0.14243399501321008,113
SMI ETG,332,4,bright,0.09000214133433897,112
SMI ETG,332,5,dark,0.14151072247753452,111
SMI ETG,332,6,bright,0.07787468948959134,112
SMI ETG,347,1,dark,0.18723115023795095,115
SMI ETG,347,2,bright,0.21041185944182772,116
SMI ETG,347,3,dark,0.4644772146039088,112
SMI ETG,347,4,bright,0.16360591745896544,112
SMI ETG,347,5,dark,0.36470533216817913,111
SMI ETG,347,6,bright,0.36731851056442966,111
SMI ETG,352,1,dark,0.0870420371744956,111
SMI ETG,352,2,bright,0.1351884282703452,114
SMI ETG,352,3,dark,0.16544345844685218,114
SMI ETG,352,4,bright,0.15954607782751115,113
SMI ETG,352,5,dark,0.1771502078349712,114
SMI ETG,352,6,bright,0.1367454827469663,111
SMI ETG,354,1,dark,0.08936348247910933,113
SMI ETG,354,2,bright,0.06434023954652257,114
SMI ETG,354,3,dark,0.12843873883924467,115
SMI ETG,354,4,bright,0.1048859991303081,112
