eye_tracker,frame,trial_condition,segment,target_x,target_y,timestamp,gaze_dir_l_x,gaze_dir_l_y,gaze_dir_l_z,gaze_ori_l_x,gaze_ori_l_y,gaze_ori_l_z,pup_diam_l,gaze_dir_r_x,gaze_dir_r_y,gaze_dir_r_z,gaze_ori_r_x,gaze_ori_r_y,gaze_ori_r_z,pup_diam_r,gaze_pos_vid_x,gaze_pos_vid_y,gaze_pos_3d_x,gaze_pos_3d_y,gaze_pos_3d_z,gaze_target_angle
Tobii Glasses 2,728,dilated,1,986,332,29093.206,-0.031,0.2202,0.975,29.98,-25.83,-28.83,4.37,0.0244,0.2152,0.9763,-32.91,-25.3,-27.94,4.31,989.76,315.9,-5.19,219.38,1069.01,0.7926658829653811
Tobii Glasses 2,728,dilated,1,986,332,29103.202,-0.0299,0.2144,0.9763,29.81,-25.66,-28.77,4.31,0.0233,0.2225,0.9747,-32.5,-25.48,-27.8,4.23,989.76,314.82,-5.15,224.32,1087.81,0.8429652904218218
Tobii Glasses 2,728,dilated,1,986,332,29113.187,-0.0309,0.221,0.9748,29.97,-25.83,-28.83,4.38,0.0234,0.2159,0.9761,-32.91,-25.31,-27.94,4.32,990.336,314.712,-5.8,224.69,1089.21,0.8543537641116432
Tobii Glasses 2,728,dilated,1,986,332,29123.182,-0.0308,0.214,0.9764,29.81,-25.65,-28.78,4.31,0.022,0.2225,0.9747,-32.5,-25.48,-27.8,4.23,990.912,314.928,-6.42,225.35,1093.28,0.8516785099353432
Tobii Glasses 2,729,dilated,1,986,332,29133.175,-0.0314,0.2208,0.9748,29.97,-25.83,-28.84,4.38,0.0224,0.2155,0.9762,-32.91,-25.31,-27.94,4.31,991.296,314.82,-6.74,226.55,1098.87,0.861960134075629
Tobii Glasses 2,729,dilated,1,986,332,29143.196,-0.031,0.2141,0.9763,29.81,-25.65,-28.78,4.31,0.0212,0.2225,0.9747,-32.5,-25.48,-27.8,4.23,991.488,314.604,-7.05,228.41,1106.68,0.8745807284636282
Tobii Glasses 2,729,dilated,1,986,332,29153.185,-0.032,0.2211,0.9747,29.97,-25.83,-28.84,4.38,0.022,0.2155,0.9762,-32.91,-25.31,-27.94,4.31,991.872,314.712,-7.23,225.49,1093.3,0.8755289866615448
Tobii Glasses 2,729,dilated,1,986,332,29163.177,-0.0317,0.213,0.9765,29.81,-25.65,-28.79,4.3,0.0211,0.2234,0.9745,-32.5,-25.48,-27.8,4.24,992.064,315.252,-7.32,222.22,1079.78,0.8543596594846331
Tobii Glasses 2,730,dilated,1,985,332,29173.173,-0.0326,0.2209,0.9748,29.97,-25.83,-28.84,4.37,0.0215,0.2158,0.9762,-32.91,-25.31,-27.94,4.31,992.64,314.712,-7.9,225.56,1093.61,0.9071653229263987
Tobii Glasses 2,730,dilated,1,985,332,29183.165,-0.0322,0.2143,0.9762,29.81,-25.65,-28.78,4.29,0.0202,0.2228,0.9747,-32.5,-25.48,-27.8,4.23,992.832,314.388,-8.32,227.6,1101.76,0.9250764093553829
Tobii Glasses 2,730,dilated,1,985,332,29193.15,-0.0332,0.2213,0.9746,29.97,-25.83,-28.84,4.37,0.0212,0.2157,0.9762,-32.91,-25.31,-27.94,4.32,993.024,314.712,-8.38,224.09,1086.09,0.9149596751279778
Tobii Glasses 2,730,dilated,1,985,332,29203.145,-0.0332,0.2145,0.9762,29.81,-25.65,-28.78,4.29,0.0205,0.2229,0.9746,-32.5,-25.48,-27.8,4.23,993.408,314.712,-8.59,222.05,1076.17,0.9230721284259215
Tobii Glasses 2,731,dilated,1,985,332,29213.138,-0.0338,0.2222,0.9744,29.97,-25.83,-28.84,4.37,0.0215,0.2159,0.9762,-32.91,-25.31,-27.94,4.32,993.408,314.388,-8.42,219.94,1064.81,0.9369397820542568
Tobii Glasses 2,731,dilated,1,985,332,29223.134,-0.0342,0.2159,0.9758,29.81,-25.66,-28.77,4.28,0.0217,0.2235,0.9745,-32.5,-25.48,-27.8,4.24,993.216,314.064,-8.19,215.12,1040.17,0.9468841480002983
Tobii Glasses 2,731,dilated,1,985,332,29233.118,-0.0344,0.2238,0.974,29.97,-25.83,-28.84,4.37,0.0219,0.216,0.9761,-32.91,-25.31,-27.94,4.32,993.408,313.848,-8.33,214.72,1037.11,0.9601584414712034
Tobii Glasses 2,731,dilated,1,985,332,29243.11,-0.0345,0.216,0.9758,29.81,-25.66,-28.78,4.28,0.0215,0.2243,0.9743,-32.5,-25.49,-27.8,4.24,993.6,313.632,-8.45,214.17,1033.63,0.9734487932107215
Tobii Glasses 2,732,dilated,1,985,332,29253.105,-0.0337,0.2248,0.9738,29.97,-25.83,-28.84,4.36,0.0215,0.2172,0.9759,-32.91,-25.31,-27.94,4.32,993.216,312.012,-8.3,220.91,1058.88,1.0363572727665167
Tobii Glasses 2,732,dilated,1,985,332,29263.129,-0.0333,0.219,0.9751,29.81,-25.66,-28.77,4.3,0.0212,0.224,0.9744,-32.5,-25.49,-27.8,4.24,993.024,311.04,-8.24,225.51,1076.64,1.0758321534590054
Tobii Glasses 2,732,dilated,1,985,332,29273.118,-0.033,0.2258,0.9736,29.97,-25.83,-28.84,4.37,0.0214,0.2176,0.9758,-32.91,-25.31,-27.93,4.32,992.832,310.932,-8.02,224.24,1069.8,1.0773163319568286
Tobii Glasses 2,732,dilated,1,985,332,29283.108,-0.033,0.2194,0.9751,29.81,-25.66,-28.77,4.3,0.0212,0.2252,0.9741,-32.5,-25.49,-27.8,4.24,992.832,310.068,-8.03,227.12,1079.64,1.1159123283212289
Tobii Glasses 2,733,dilated,1,985,332,29293.1,-0.0334,0.2263,0.9735,29.97,-25.83,-28.84,4.37,0.0216,0.2185,0.9756,-32.91,-25.31,-27.94,4.32,993.216,310.176,-8.16,223.04,1060.92,1.117563946885508
Tobii Glasses 2,733,dilated,1,985,332,29303.097,-0.0341,0.2188,0.9752,29.81,-25.66,-28.78,4.3,0.0219,0.226,0.9739,-32.5,-25.49,-27.8,4.25,993.216,310.608,-8.05,218.32,1040.46,1.0983730739524173
