frame_idx	gaze_ori_l_x	gaze_ori_l_y	gaze_ori_l_z	pup_diam_l	gaze_dir_l_x	gaze_dir_l_y	gaze_dir_l_z	gaze_ori_r_x	gaze_ori_r_y	gaze_ori_r_z	pup_diam_r	gaze_dir_r_x	gaze_dir_r_y	gaze_dir_r_z	gaze_pos_vid_x	gaze_pos_vid_y	pup_diam_l_px_x	pup_diam_l_px_y	pup_diam_r_px_x	pup_diam_r_px_y	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]
53	32.04100000	-1.93500000	-24.78800000	2.44000000	0.01950000	-0.23290000	0.97230000	-34.84200000	-0.15900000	-21.69800000	2.58000000	0.05650000	-0.22350000	0.97310000	593.82000000	557.35000000	66.00000000	61.00000000	68.00000000	62.00000000	546.51000000	634.43000000	658.81000000	623.92000000
54	32.04100000	-1.93500000	-24.78800000	2.44000000	0.01810000	-0.23220000	0.97250000	-34.84200000	-0.15900000	-21.69800000	2.58000000	0.05520000	-0.22260000	0.97330000	595.36000000	556.52000000	66.00000000	61.00000000	68.00000000	62.00000000	548.12000000	633.59000000	660.25000000	622.89000000
55	32.04100000	-1.93500000	-24.78800000	2.44000000	0.01750000	-0.23230000	0.97250000	-34.84200000	-0.15900000	-21.69800000	2.58000000	0.05550000	-0.22230000	0.97340000	595.57000000	556.73000000	66.00000000	61.00000000	68.00000000	62.00000000	548.79000000	633.71000000	660.00000000	622.48000000
56	32.04200000	-1.93400000	-24.78800000	2.44000000	0.01630000	-0.23270000	0.97240000	-34.84300000	-0.15900000	-21.69800000	2.58000000	0.05600000	-0.22220000	0.97340000	595.99000000	557.51000000	67.00000000	61.00000000	68.00000000	62.00000000	550.23000000	634.09000000	659.38000000	622.33000000
56	32.04200000	-1.93400000	-24.78800000	2.42000000	0.01820000	-0.23430000	0.97200000	-34.84300000	-0.15800000	-21.69800000	2.58000000	0.05440000	-0.22240000	0.97340000	595.82000000	557.82000000	66.00000000	61.00000000	68.00000000	62.00000000	548.06000000	636.06000000	661.25000000	622.65000000
57	32.04200000	-1.93400000	-24.78900000	2.44000000	0.01780000	-0.23380000	0.97210000	-34.84300000	-0.15800000	-21.69800000	2.58000000	0.05520000	-0.22250000	0.97340000	595.57000000	557.84000000	66.00000000	61.00000000	68.00000000	62.00000000	548.53000000	635.47000000	660.27000000	622.76000000
58	32.04200000	-1.93400000	-24.78900000	2.42000000	0.01770000	-0.23330000	0.97230000	-34.84300000	-0.15800000	-21.69800000	2.56000000	0.05630000	-0.22400000	0.97300000	594.98000000	558.36000000	66.00000000	61.00000000	68.00000000	62.00000000	548.61000000	634.83000000	659.00000000	624.50000000
59	32.04200000	-1.93400000	-24.78900000	2.42000000	0.01890000	-0.23340000	0.97220000	-34.84400000	-0.15800000	-21.69800000	2.50000000	0.05710000	-0.22550000	0.97260000	593.85000000	558.98000000	66.00000000	60.00000000	68.00000000	60.00000000	547.23000000	635.04000000	658.11000000	626.33000000
59	32.04200000	-1.93400000	-24.78900000	2.40000000	0.01760000	-0.23310000	0.97230000	-34.84400000	-0.15700000	-21.69800000	2.54000000	0.05680000	-0.22410000	0.97290000	594.77000000	558.49000000	66.00000000	60.00000000	68.00000000	60.00000000	548.75000000	634.64000000	658.43000000	624.65000000
60	32.04200000	-1.93400000	-24.78900000	2.40000000	0.02110000	-0.23120000	0.97270000	-34.84400000	-0.15700000	-21.69800000	2.52000000	0.05740000	-0.22470000	0.97280000	592.41000000	556.38000000	66.00000000	59.00000000	68.00000000	60.00000000	544.72000000	632.42000000	657.76000000	625.35000000
